,APT_ICAO,APT_NAME,STATE_NAME
268,LESA,Salamanca Matalan,Spain
269,LEIZ,Abad,Spain
270,LEBA,Cordoba,Spain
271,LEBG,Burgos,Spain
272,LDZL,Lučko,Croatia
273,EPSY,Olsztyn-Mazury,Poland
274,LERE,Valencia - Requena,Spain
275,EISG,Sligo,Ireland
276,EVVA,Ventspils,Latvia
277,EVLA,Liepaja,Latvia
278,LLBG,Ben Gurion International,Israel
279,GMAD,Al Massira,Morocco
280,GMFF,Saïss,Morocco
281,GMME,Rabat-Salé,Morocco
282,GMMN,Mohammed V International,Morocco
283,GMMX,Menara,Morocco
284,GMTT,Ibn Batouta,Morocco
285,EHLE,Lelystad,Netherlands
286,ENAL,Alesund,Norway
287,ENAN,Andenes,Norway
288,ENAT,Alta,Norway
289,ENBL,Forde Bringeland,Norway
290,ENBN,Bronnoysund Bronnoy,Norway
291,ENBO,Bodø,Norway
292,ENBS,Batsfjord,Norway
293,ENBV,Berlevåg,Norway
294,ENCN,Kristiansand Kjevik,Norway
295,ENDU,Bardufoss,Norway
296,ENEV,Harstad - Narvik Evenes,Norway
297,ENFL,Florø,Norway
298,ENHF,Hammerfest,Norway
299,ENHV,Honningsvåg Valan,Norway
300,ENKB,Kristiansund Kvernberget,Norway
301,ENKR,Kirkenes Høybuktmoen,Norway
302,ENLK,Leknes,Norway
303,ENMH,Mehamn,Norway
304,ENML,Molde Årø,Norway
305,ENMS,Mosjøen Kjærstad,Norway
306,ENNA,Lakselv Banak,Norway
307,ENNM,Namsos Høknesøra,Norway
308,ENOV,Orsta¿Volda Hovden,Norway
309,ENRA,Mo i Rana Røssvoll,Norway
310,ENRM,Rorvik Ryum,Norway
311,ENRO,Roros,Norway
312,ENRS,Rost,Norway
313,ENSB,Svalbard Longyear,Norway
314,ENSD,Sandane  Anda,Norway
315,ENSG,Sogndal Haukåsen,Norway
316,ENSH,Svolvær Helle,Norway
317,ENSK,Stokmarknes Skagen,Norway
318,ENSR,Sorkjosen,Norway
319,ENSS,Vardø Svartnes,Norway
320,ENST,Sandnessjøen Stokka,Norway
321,ENTC,Tromsø,Norway
322,ENVD,Vadsø,Norway
323,ENVR,Værøy,Norway
324,EGNT,Newcastle,United Kingdom
325,LPMT,Montijo,Portugal
326,LTFM,iGA Istanbul Airport,Turkey
327,LEMI,Región de Murcia International Airport,Spain
328,EVJA,Tukums Jurmala,Latvia
329,LERL,Ciudad Real Central,Spain
330,LLBG,Tel Aviv - Ben Gurion International,Israel
331,LICJ,Palermo Falcone-Borsellino,Italy
332,LFOP,Rouen,France
333,EICM,Galway Carnmore,Ireland
334,BIKF,Keflavik,Iceland
335,LTFM,Istanbul,Turkey
